username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018/06/18 23:07;1;8;"TL Mix aus “Haha X ist tot er hat's verdient!“, “X ist tot warum freuen sich Leute drüber?“ und @GrafKokain der auf seinem ich-hab-euch-alle-lieb Grind ist.";;@GrafKokain;;"1008818391270993921";https://twitter.com/_01000110/status/1008818391270993921
;2018/06/18 23:06;1;3;"Es ist so anstrengend selbst nicht zu wissen, wie es einem geht.";;;;"1008818239055515648";https://twitter.com/EmptyMaxim/status/1008818239055515648
;2018/06/18 23:06;2;3;"Mit einem Lächeln die dunklen Gefühle zur Seite schieben, weil man zu ermüdet ist sie erneut zu spüren.";;;;"1008818184508661768";https://twitter.com/LianyThalion/status/1008818184508661768
;2018/06/18 23:05;5;37;"ich bete zu gott";;;;"1008818049150017537";https://twitter.com/dannyreturns/status/1008818049150017537
;2018/06/18 23:04;12;57;"Niemand muss sich dafür rechtfertigen jemandes Musik zu hören.";;;;"1008817712435515393";https://twitter.com/ehmteahes/status/1008817712435515393
;2018/06/18 23:03;3;5;"Alas... Stephen Miller has finally found a woman who will fjuck him. Kirstjenpic.twitter.com/iEJ3mk1ixA";;;;"1008817564498235393";https://twitter.com/georgefenneman/status/1008817564498235393
;2018/06/18 23:02;5;6;"Menschen, die wegen ihrer Nichtreligiosität aus ihren Heimatländern fliehen, werden hier weiter bedroht. Der Humanistische Verband Berlin-Brandenburg KdöR fordert den Berliner Senat auf, für einen besseren Schutz von religionsfreien Geflüchteten zu sorgen. https://humanistisch.de/x/hvd-bb/presse/2018063187 …pic.twitter.com/xCdt40EfBh";;;;"1008817193834905601";https://twitter.com/atheistrefugees/status/1008817193834905601
;2018/06/18 23:02;20;84;"Was man nicht vergessen darf: Die kaputte CSU hatte lediglich 6,3 Prozent in der Bundestagswahl. PolitSmiley";;;;"1008817174306328578";https://twitter.com/MartinSonneborn/status/1008817174306328578
;2018/06/18 23:00;6;14;"Carmelo Anthony, ladies and gentlemenpic.twitter.com/Ax3Hga4ycU";;;;"1008816812606320641";https://twitter.com/chrisgrenham/status/1008816812606320641
;2018/06/18 23:00;4;10;"KOPFKINO Ich bin bereit. Bereit für Deine Strenge, die mich führen wird. Bereit für Deine Liebe, die mich erlösen wird. Ich bin bereit ... Carina Holdpic.twitter.com/OjEfdcICX1";;;;"1008816662425096193";https://twitter.com/CarinA_Autorin/status/1008816662425096193
;2018/06/18 22:58;5;18;"The iconic Pokémon thingpic.twitter.com/JWTulHRDt8";;;;"1008816364444946432";https://twitter.com/tommobabyboy/status/1008816364444946432
;2018/06/18 22:57;54;93;"sowoneul malhaebwa!https://twitter.com/xxxtentacion/status/289897800362258432 …";;;;"1008815934801416194";https://twitter.com/CHAMPAGNEPEPl/status/1008815934801416194
;2018/06/18 22:57;13;51;"Ich habe absolut keinen Bezug zu xxxtentacion und seiner Musik aber zu sagen er hätte es verdient zu sterben ist ein Hurensohn move over 90000";;;;"1008815889691668487";https://twitter.com/JzudemD/status/1008815889691668487
;2018/06/18 22:54;10;22;"XXXTentacion in Miami angeschossen / Zustand unklar http://www.16bars.de/newsartikel/236586/xxxtentacion-angeschossen-in-miami/ …pic.twitter.com/VNSCrookQ7";;;;"1008815335531827203";https://twitter.com/16barsde/status/1008815335531827203
;2018/06/18 22:53;4;22;"musik von lil peep und xxxtentacion hat mir immer geholfen und bin ja noch nicht mal über peeps tod hinweg und jetzt xxx???? was passiert hier?";;;;"1008815048289079297";https://twitter.com/shmuren/status/1008815048289079297
;2018/06/18 22:52;15;27;"xxx got hit with that ddu du ddu du du";;;;"1008814659204337664";https://twitter.com/yerisbars/status/1008814659204337664
;2018/06/18 22:51;5;39;"Heultweet Werbung Heultweet Heultweet Ichmachmeindingtweet Werbung Katzenbild Heultweet Heultweet Crowdfunding Heultweet Heultweet Werbung Fallsduheultweetsverpassthasthinweis Heultweet Werbung Heultweetmoments Heulthreadretweet Brüste Heultweet Ichmachmeindingtweet Fussball";;;;"1008814590778585093";https://twitter.com/Hartweizenhirn/status/1008814590778585093
;2018/06/18 22:51;3;11;"@ alle die immer noch shit über x reden und nur den pitchfork Artikel gelesen haben entfolgt mir jetzt sofort Danke sehr :)";;@;;"1008814470590844929";https://twitter.com/toasterprinzip/status/1008814470590844929
;2018/06/18 22:50;4;6;"Leute die Medchen anstatt Mädchen schreiben kann ich nicht ernst nehmen";;;;"1008814283147370497";https://twitter.com/ein_llama/status/1008814283147370497
;2018/06/18 22:50;4;4;"Drei-Beinchen APPLE haben wir auch wiedergetroffen. Sie ist eine super liebe, total süße und verschmuste Maus geworden. Einfach mega dufte. Nach wie vor leidet sie aber sehr unter dem Stress im Kennel! Hündin ~4 Jahre 35m http://www.prodogromania.de/bilder/index.php/Notf-lle/Medizinische-Notf-lle-K-rperliches-Handicap/Hunde-mit-k-rperlichen-Handicaps/APPLE … info@prodogromania.depic.twitter.com/lBpmF6qC91";;@prodogromania;;"1008814231108583424";https://twitter.com/ProDogRomania/status/1008814231108583424
;2018/06/18 23:09;2;6;"ok anderes thema wieso gibt es eigentlich runde und flache schnürsenkel";;;;"1008818909238185984";https://twitter.com/lenaliebtgronkh/status/1008818909238185984
;2018/06/18 23:08;1;3;"Alles, was man braucht, ist Vertrauen. pic.twitter.com/zPLqxatXQt";;;;"1008818658532052992";https://twitter.com/gerhardschwar11/status/1008818658532052992
;2018/06/18 23:07;1;4;"nenenenenennenenenenene. aint real. Fckkkk";;;;"1008818430538117122";https://twitter.com/liljezuus/status/1008818430538117122
